Land,Year,Series,Value
Southern Africa,2017,Arable land (% of total land area),5.1484
Southern Africa,2017,Permanent crops (% of total land area),0.1675
Southern Africa,2017,Forest cover (% of total land area),10.4257
Western Africa,2005,Land area (thousand hectares),606406
Western Africa,2005,Arable land (thousand hectares),80976.02
Western Africa,2005,Permanent crops (thousand hectares),15463
Western Africa,2005,Forest cover (thousand hectares),74059.59
Western Africa,2005,Arable land (% of total land area),13.3534
Western Africa,2005,Permanent crops (% of total land area),2.5499
Western Africa,2005,Forest cover (% of total land area),12.2129
Western Africa,2010,Land area (thousand hectares),606406
Western Africa,2010,Arable land (thousand hectares),82855.38
Western Africa,2010,Permanent crops (thousand hectares),16392
Western Africa,2010,Forest cover (thousand hectares),70353.09
Western Africa,2010,Arable land (% of total land area),13.6634
Western Africa,2010,Permanent crops (% of total land area),2.7031
Western Africa,2010,Forest cover (% of total land area),11.6016
Western Africa,2017,Land area (thousand hectares),606406
Western Africa,2017,Arable land (thousand hectares),87339
Western Africa,2017,Permanent crops (thousand hectares),16261
Western Africa,2017,Forest cover (thousand hectares),67073.403
Western Africa,2017,Arable land (% of total land area),14.4027
Western Africa,2017,Permanent crops (% of total land area),2.6815
Western Africa,2017,Forest cover (% of total land area),11.0608
Americas,2005,Land area (thousand hectares),3867814.6
Americas,2005,Arable land (thousand hectares),342591.07
Americas,2005,Permanent crops (thousand hectares),26731.23
Americas,2005,Forest cover (thousand hectares),1616563.826
Americas,2005,Arable land (% of total land area),8.8575
Americas,2005,Permanent crops (% of total land area),0.6911
Americas,2005,Forest cover (% of total land area),41.7953
Americas,2010,Land area (thousand hectares),3866367.6
Americas,2010,Arable land (thousand hectares),339016.37
Americas,2010,Permanent crops (thousand hectares),26398
Americas,2010,Forest cover (thousand hectares),1602411.787
Americas,2010,Arable land (% of total land area),8.7683
Americas,2010,Permanent crops (% of total land area),0.6828
Americas,2010,Forest cover (% of total land area),41.4449
Americas,2017,Land area (thousand hectares),3866107.6
Americas,2017,Arable land (thousand hectares),346816.79
Americas,2017,Permanent crops (thousand hectares),25260.24
Americas,2017,Forest cover (thousand hectares),1592663.342
Americas,2017,Arable land (% of total land area),8.9707
Americas,2017,Permanent crops (% of total land area),0.6534
Americas,2017,Forest cover (% of total land area),41.1955
Northern America,2005,Land area (thousand hectares),1853824.4
Northern America,2005,Arable land (thousand hectares),205890
Northern America,2005,Permanent crops (thousand hectares),2865
Northern America,2005,Forest cover (thousand hectares),652337.22
Northern America,2005,Arable land (% of total land area),11.1062
Northern America,2005,Permanent crops (% of total land area),0.1545
Northern America,2005,Forest cover (% of total land area),35.1887
Northern America,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),34.3775
Northern America,2010,Land area (thousand hectares),1852374.4
Northern America,2010,Arable land (thousand hectares),195506.8
Northern America,2010,Permanent crops (thousand hectares),2777
Northern America,2010,Forest cover (thousand hectares),656026.12
Northern America,2010,Arable land (% of total land area),10.5544
Northern America,2010,Permanent crops (% of total land area),0.1499
Northern America,2010,Forest cover (% of total land area),35.4154
Northern America,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),39.5884
Northern America,2017,Land area (thousand hectares),1852374.4
Northern America,2017,Arable land (thousand hectares),196017.2
Northern America,2017,Permanent crops (thousand hectares),2774.3
Northern America,2017,Forest cover (thousand hectares),657168.02
Northern America,2017,Arable land (% of total land area),10.5819
Northern America,2017,Permanent crops (% of total land area),0.1498
Northern America,2017,Forest cover (% of total land area),35.4771
Northern America,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),41.384
Northern America,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),41.384
Latin America & the Caribbean,2005,Land area (thousand hectares),2013990.2
Latin America & the Caribbean,2005,Arable land (thousand hectares),2013990.2
Latin America & the Caribbean,2005,Permanent crops (thousand hectares),23866.23
Latin America & the Caribbean,2005,Forest cover (thousand hectares),964226.606
Latin America & the Caribbean,2005,Arable land (% of total land area),6.7876
Latin America & the Caribbean,2005,Permanent crops (% of total land area),6.7876
Latin America & the Caribbean,2005,Forest cover (% of total land area),47.8764
Latin America & the Caribbean,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),30.6293
Latin America & the Caribbean,2010,Land area (thousand hectares),2013993.2
Latin America & the Caribbean,2010,Arable land (thousand hectares),2013993.2
Latin America & the Caribbean,2010,Permanent crops (thousand hectares),23621
Latin America & the Caribbean,2010,Forest cover (thousand hectares),946385.667
Latin America & the Caribbean,2010,Arable land (% of total land area),7.1256
Latin America & the Caribbean,2010,Permanent crops (% of total land area),7.1256
Latin America & the Caribbean,2010,Forest cover (% of total land area),46.9905
Latin America & the Caribbean,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),34.9284
Latin America & the Caribbean,2017,Land area (thousand hectares),2013733.2
Latin America & the Caribbean,2017,Arable land (thousand hectares),2013733.2
Latin America & the Caribbean,2017,Permanent crops (thousand hectares),22485.94
Latin America & the Caribbean,2017,Forest cover (thousand hectares),935495.322
Latin America & the Caribbean,2017,Arable land (% of total land area),7.4886
Latin America & the Caribbean,2017,Permanent crops (% of total land area),7.4886
Latin America & the Caribbean,2017,Forest cover (% of total land area),46.4558
Latin America & the Caribbean,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),37.7083
Latin America & the Caribbean,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),38.0374
Caribbean,2005,Land area (thousand hectares),22598
Caribbean,2005,Arable land (thousand hectares),5698.57
Caribbean,2005,Permanent crops (thousand hectares),1324.23
Caribbean,2005,Forest cover (thousand hectares),6339.68
Caribbean,2005,Arable land (% of total land area),25.2171
Caribbean,2005,Permanent crops (% of total land area),5.8599
Caribbean,2005,Forest cover (% of total land area),28.0542
Caribbean,2010,Land area (thousand hectares),22598
Caribbean,2010,Arable land (thousand hectares),5591.7
Caribbean,2010,Permanent crops (thousand hectares),1304.4
Caribbean,2010,Forest cover (thousand hectares),6744.1
Caribbean,2010,Arable land (% of total land area),24.7442
Caribbean,2010,Permanent crops (% of total land area),5.7722
Caribbean,2010,Forest cover (% of total land area),29.8438
Caribbean,2017,Land area (thousand hectares),22356
Caribbean,2017,Arable land (thousand hectares),5079.75
Caribbean,2017,Permanent crops (thousand hectares),1489.9
Caribbean,2017,Forest cover (thousand hectares),7194.406
Caribbean,2017,Arable land (% of total land area),22.7221
Caribbean,2017,Permanent crops (% of total land area),6.6644
Caribbean,2017,Forest cover (% of total land area),32.1811
Central America,2005,Land area (thousand hectares),245227
Central America,2005,Arable land (thousand hectares),29276
Central America,2005,Permanent crops (thousand hectares),4837
Central America,2005,Forest cover (thousand hectares),89275.53
Central America,2005,Arable land (% of total land area),11.9383
Central America,2005,Permanent crops (% of total land area),1.9725
Central America,2005,Forest cover (% of total land area),36.4053
Central America,2010,Land area (thousand hectares),245227
Central America,2010,Arable land (thousand hectares),26815.97
Central America,2010,Permanent crops (thousand hectares),5156.5
Central America,2010,Forest cover (thousand hectares),87508.391
Central America,2010,Arable land (% of total land area),10.9352
Central America,2010,Permanent crops (% of total land area),2.1027
Central America,2010,Forest cover (% of total land area),35.6846
Central America,2017,Land area (thousand hectares),245205
Central America,2017,Arable land (thousand hectares),28918.5
Central America,2017,Permanent crops (thousand hectares),5584
Central America,2017,Forest cover (thousand hectares),86290.3
Central America,2017,Arable land (% of total land area),11.7936
Central America,2017,Permanent crops (% of total land area),2.2773
Central America,2017,Forest cover (% of total land area),35.1911
South America,2005,Land area (thousand hectares),1746165.2
South America,2005,Arable land (thousand hectares),101726.5
South America,2005,Permanent crops (thousand hectares),17705
South America,2005,Forest cover (thousand hectares),868611.396
South America,2005,Arable land (% of total land area),5.8257
South America,2005,Permanent crops (% of total land area),1.0139
South America,2005,Forest cover (% of total land area),49.7439
South America,2010,Land area (thousand hectares),1746168.2
South America,2010,Arable land (thousand hectares),111101.9
South America,2010,Permanent crops (thousand hectares),17160.1
South America,2010,Forest cover (thousand hectares),852133.176
South America,2010,Arable land (% of total land area),6.3626
South America,2010,Permanent crops (% of total land area),0.9827
South America,2010,Forest cover (% of total land area),48.8002
South America,2017,Land area (thousand hectares),1746172.2
South America,2017,Arable land (thousand hectares),116801.34
South America,2017,Permanent crops (thousand hectares),15412.04
South America,2017,Forest cover (thousand hectares),842010.616
South America,2017,Arable land (% of total land area),6.689
South America,2017,Permanent crops (% of total land area),0.8826
South America,2017,Forest cover (% of total land area),48.2204
Asia,2005,Land area (thousand hectares),3102281.58
Asia,2005,Arable land (thousand hectares),492109.37
Asia,2005,Permanent crops (thousand hectares),70538.8
Asia,2005,Forest cover (thousand hectares),580867.606
Asia,2005,Arable land (% of total land area),15.8628
Asia,2005,Permanent crops (% of total land area),2.2738
Asia,2005,Forest cover (% of total land area),18.7239
Asia,2010,Land area (thousand hectares),3102069.77
Asia,2010,Arable land (thousand hectares),480509.57
Asia,2010,Permanent crops (thousand hectares),81199.27
Asia,2010,Forest cover (thousand hectares),589405.368
Asia,2010,Arable land (% of total land area),15.49
Asia,2010,Permanent crops (% of total land area),2.6176
Asia,2010,Forest cover (% of total land area),19.0004
Asia,2017,Land area (thousand hectares),3108876.82
Asia,2017,Arable land (thousand hectares),497947.138
Asia,2017,Permanent crops (thousand hectares),90612.141
Asia,2017,Forest cover (thousand hectares),593361.599
Asia,2017,Arable land (% of total land area),16.0169
Asia,2017,Permanent crops (% of total land area),2.9146
Asia,2017,Forest cover (% of total land area),19.086
Central Asia,2005,Land area (thousand hectares),392679
Central Asia,2005,Arable land (thousand hectares),37010.3
Central Asia,2005,Permanent crops (thousand hectares),713.7
Central Asia,2005,Forest cover (thousand hectares),12038.3
Central Asia,2005,Arable land (% of total land area),9.4251
Central Asia,2005,Permanent crops (% of total land area),0.1818
Central Asia,2005,Forest cover (% of total land area),3.0657
Central Asia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),11.5518
Central Asia,2010,Land area (thousand hectares),392679
Central Asia,2010,Arable land (thousand hectares),36818.9
Central Asia,2010,Permanent crops (thousand hectares),743.3
Central Asia,2010,Forest cover (thousand hectares),11798.5
Central Asia,2010,Arable land (% of total land area),9.3763
Central Asia,2010,Permanent crops (% of total land area),0.1893
Central Asia,2010,Forest cover (% of total land area),3.0046
Central Asia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),12.1411
Central Asia,2017,Land area (thousand hectares),392562
Central Asia,2017,Arable land (thousand hectares),37368.9
Central Asia,2017,Permanent crops (thousand hectares),807.6
Central Asia,2017,Forest cover (thousand hectares),11704.9
Central Asia,2017,Arable land (% of total land area),9.5192
Central Asia,2017,Permanent crops (% of total land area),0.2057
Central Asia,2017,Forest cover (% of total land area),2.9817
Central Asia,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),12.5697
Central Asia,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),12.5697
Eastern Asia,2005,Land area (thousand hectares),1156001.98
Eastern Asia,2005,Arable land (thousand hectares),121906
Eastern Asia,2005,Permanent crops (thousand hectares),13296
Eastern Asia,2005,Forest cover (thousand hectares),241840.9
Eastern Asia,2005,Arable land (% of total land area),10.5455
Eastern Asia,2005,Permanent crops (% of total land area),1.1502
Eastern Asia,2005,Forest cover (% of total land area),20.9205
Eastern Asia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),22.0452
Eastern Asia,2010,Land area (thousand hectares),1156042.07
Eastern Asia,2010,Arable land (thousand hectares),116624.5
Eastern Asia,2010,Permanent crops (thousand hectares),15468
Eastern Asia,2010,Forest cover (thousand hectares),250503.5
Eastern Asia,2010,Arable land (% of total land area),10.0883
Eastern Asia,2010,Permanent crops (% of total land area),1.338
Eastern Asia,2010,Forest cover (% of total land area),21.6691
Eastern Asia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),23.953
Eastern Asia,2017,Land area (thousand hectares),1156443.62
Eastern Asia,2017,Arable land (thousand hectares),127966
Eastern Asia,2017,Permanent crops (thousand hectares),16948
Eastern Asia,2017,Forest cover (thousand hectares),257047.1
Eastern Asia,2017,Arable land (% of total land area),11.0655
Eastern Asia,2017,Permanent crops (% of total land area),1.4655
Eastern Asia,2017,Forest cover (% of total land area),22.2274
Eastern Asia,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),25.9243
Eastern Asia,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),26.1977
South-eastern Asia,2005,Land area (thousand hectares),434075.9
South-eastern Asia,2005,Arable land (thousand hectares),65540.07
South-eastern Asia,2005,Permanent crops (thousand hectares),36521.2
South-eastern Asia,2005,Forest cover (thousand hectares),217123.06
South-eastern Asia,2005,Arable land (% of total land area),15.0988
South-eastern Asia,2005,Permanent crops (% of total land area),8.4136
South-eastern Asia,2005,Forest cover (% of total land area),50.0196
South-eastern Asia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),26.3436
South-eastern Asia,2010,Land area (thousand hectares),434067.2
South-eastern Asia,2010,Arable land (thousand hectares),68117.34
South-eastern Asia,2010,Permanent crops (thousand hectares),42499.8
South-eastern Asia,2010,Forest cover (thousand hectares),214593.91
South-eastern Asia,2010,Arable land (% of total land area),15.6928
South-eastern Asia,2010,Permanent crops (% of total land area),9.7911
South-eastern Asia,2010,Forest cover (% of total land area),49.4379
South-eastern Asia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),30.6837
South-eastern Asia,2017,Land area (thousand hectares),440615.8
South-eastern Asia,2017,Arable land (thousand hectares),73221.66
South-eastern Asia,2017,Permanent crops (thousand hectares),48763.6
South-eastern Asia,2017,Forest cover (thousand hectares),210758.76
South-eastern Asia,2017,Arable land (% of total land area),16.618
South-eastern Asia,2017,Permanent crops (% of total land area),11.0671
South-eastern Asia,2017,Forest cover (% of total land area),47.8328
South-eastern Asia,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),35.542
South-eastern Asia,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),35.5813
Southern Asia,2005,Land area (thousand hectares),640033.7
Southern Asia,2005,Arable land (thousand hectares),225413
Southern Asia,2005,Permanent crops (thousand hectares),14631
Southern Asia,2005,Forest cover (thousand hectares),91518.627
Southern Asia,2005,Arable land (% of total land area),35.2189
Southern Asia,2005,Permanent crops (% of total land area),2.286
Southern Asia,2005,Forest cover (% of total land area),14.299
Southern Asia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),24.7152
Southern Asia,2010,Land area (thousand hectares),640033.7
Southern Asia,2010,Arable land (thousand hectares),220857.5
Southern Asia,2010,Permanent crops (thousand hectares),16864.8
Southern Asia,2010,Forest cover (thousand hectares),93406.271
Southern Asia,2010,Arable land (% of total land area),34.5072
Southern Asia,2010,Permanent crops (% of total land area),2.635
Southern Asia,2010,Forest cover (% of total land area),14.594
Southern Asia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),25.6941
Southern Asia,2017,Land area (thousand hectares),640036.4
Southern Asia,2017,Arable land (thousand hectares),221273.93
Southern Asia,2017,Permanent crops (thousand hectares),17904.5
Southern Asia,2017,Forest cover (thousand hectares),94086.915
Southern Asia,2017,Arable land (% of total land area),34.5721
Southern Asia,2017,Permanent crops (% of total land area),2.7974
Southern Asia,2017,Forest cover (% of total land area),14.7002
Southern Asia,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),28.0778
Southern Asia,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),28.0778
Western Asia,2005,Land area (thousand hectares),479491
Western Asia,2005,Arable land (thousand hectares),42240
Western Asia,2005,Permanent crops (thousand hectares),5376.9
Western Asia,2005,Forest cover (thousand hectares),18346.719
Western Asia,2005,Arable land (% of total land area),8.8093
Western Asia,2005,Permanent crops (% of total land area),1.1214
Western Asia,2005,Forest cover (% of total land area),3.8263
Western Asia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),10.427
Western Asia,2010,Land area (thousand hectares),479247.8
Western Asia,2010,Arable land (thousand hectares),38091.33
Western Asia,2010,Permanent crops (thousand hectares),5623.37
Western Asia,2010,Forest cover (thousand hectares),19103.187
Western Asia,2010,Arable land (% of total land area),7.9481
Western Asia,2010,Permanent crops (% of total land area),1.1734
Western Asia,2010,Forest cover (% of total land area),3.9861
Western Asia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),15.1516
Western Asia,2017,Land area (thousand hectares),479219
Western Asia,2017,Arable land (thousand hectares),38116.648
Western Asia,2017,Permanent crops (thousand hectares),6188.441
Western Asia,2017,Forest cover (thousand hectares),19763.924
Western Asia,2017,Arable land (% of total land area),7.9539
Western Asia,2017,Permanent crops (% of total land area),1.2914
Western Asia,2017,Forest cover (% of total land area),4.1242
Western Asia,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),16.9029
Western Asia,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),16.9949
Europe,2005,Land area (thousand hectares),2214114.9
Europe,2005,Arable land (thousand hectares),279192.27
Europe,2005,Permanent crops (thousand hectares),16137.53
Europe,2005,Forest cover (thousand hectares),1004147.015
Europe,2005,Arable land (% of total land area),12.6097
Europe,2005,Permanent crops (% of total land area),0.7288
Europe,2005,Forest cover (% of total land area),45.3521
Europe,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),56.7447
Europe,2010,Land area (thousand hectares),2213629.42
Europe,2010,Arable land (thousand hectares),275894.05
Europe,2010,Permanent crops (thousand hectares),15430.67
Europe,2010,Forest cover (thousand hectares),1013572.025
Europe,2010,Arable land (% of total land area),12.4634
Europe,2010,Permanent crops (% of total land area),0.6971
Europe,2010,Forest cover (% of total land area),45.7878
Europe,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),62.9714
Europe,2017,Land area (thousand hectares),2213323.588
Europe,2017,Arable land (thousand hectares),273390.1304
Europe,2017,Permanent crops (thousand hectares),15153.9675
Europe,2017,Forest cover (thousand hectares),1015482.476
Europe,2017,Arable land (% of total land area),12.352
Europe,2017,Permanent crops (% of total land area),0.6847
Europe,2017,Forest cover (% of total land area),45.8804
Europe,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),65.3147
Europe,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),65.5939
Eastern Europe,2005,Land area (thousand hectares),1805641
Eastern Europe,2005,Arable land (thousand hectares),195108
Eastern Europe,2005,Permanent crops (thousand hectares),4505
Eastern Europe,2005,Forest cover (thousand hectares),852968
Eastern Europe,2005,Arable land (% of total land area),10.8055
Eastern Europe,2005,Permanent crops (% of total land area),0.2495
Eastern Europe,2005,Forest cover (% of total land area),47.2391
Eastern Europe,2010,Land area (thousand hectares),1805269.1
Eastern Europe,2010,Arable land (thousand hectares),193590
Eastern Europe,2010,Permanent crops (thousand hectares),4275.4
Eastern Europe,2010,Forest cover (thousand hectares),859826.6
Eastern Europe,2010,Arable land (% of total land area),10.7236
